timestamp,cpu_percent,mem_used_mb,latency_ms,throughput_mps
2025-06-07T20:07:44.359Z,0.00,15390.67,0.00,0.00
2025-06-07T20:07:45.382Z,27.10,15399.24,0.00,0.00
2025-06-07T20:07:46.371Z,20.18,15368.59,0.00,0.00
2025-06-07T20:07:47.387Z,15.51,15366.27,0.00,0.00
2025-06-07T20:07:48.365Z,6.61,15365.71,0.00,0.00
2025-06-07T20:07:49.357Z,21.23,15364.05,0.00,0.00
2025-06-07T20:07:50.370Z,12.39,15381.68,0.00,0.00
2025-06-07T20:07:51.367Z,29.29,15453.80,0.00,0.00
2025-06-07T20:07:52.359Z,36.32,15497.11,0.00,0.00
2025-06-07T20:07:53.363Z,18.09,15548.76,0.00,0.00
2025-06-07T20:07:54.366Z,24.86,15596.59,0.00,0.00
2025-06-07T20:07:55.370Z,23.31,15498.91,0.00,0.00
2025-06-07T20:07:56.395Z,87.90,15636.01,0.00,0.00
2025-06-07T20:07:57.387Z,99.87,15585.93,0.00,0.00
2025-06-07T20:07:58.360Z,43.77,15493.05,0.00,0.00
2025-06-07T20:07:59.366Z,11.98,15487.51,0.00,0.00
2025-06-07T20:08:00.371Z,40.90,15503.91,0.00,0.00
2025-06-07T20:08:01.426Z,69.90,15547.68,0.00,0.00
2025-06-07T20:08:02.369Z,61.34,15576.49,0.00,0.00
2025-06-07T20:08:03.361Z,8.59,15551.04,0.00,0.00
2025-06-07T20:08:04.371Z,8.58,15555.20,0.00,0.00
2025-06-07T20:08:05.375Z,9.71,15488.96,0.00,0.00
2025-06-07T20:08:06.368Z,20.48,15514.97,0.00,0.00
2025-06-07T20:08:07.363Z,8.34,15521.56,0.00,0.00
2025-06-07T20:08:08.359Z,5.76,15518.40,0.00,0.00
2025-06-07T20:08:09.358Z,12.60,15489.50,0.00,0.00
2025-06-07T20:08:10.371Z,12.09,15497.54,0.00,0.00
2025-06-07T20:08:11.358Z,50.14,15556.78,0.00,0.00
2025-06-07T20:08:12.362Z,30.58,15583.84,0.00,0.00
2025-06-07T20:08:13.374Z,8.74,15582.29,0.00,0.00
2025-06-07T20:08:14.368Z,9.65,15578.66,0.00,0.00
2025-06-07T20:08:15.382Z,17.39,15558.00,0.00,0.00
2025-06-07T20:08:16.373Z,24.23,15581.64,0.00,0.00
2025-06-07T20:08:17.371Z,24.49,15599.05,0.00,0.00
2025-06-07T20:08:18.364Z,28.24,15657.91,0.00,0.00
2025-06-07T20:08:19.367Z,23.32,15572.76,0.00,0.00
2025-06-07T20:08:20.381Z,22.00,15619.58,0.00,0.00
2025-06-07T20:08:21.366Z,48.05,15638.50,0.00,0.00
2025-06-07T20:08:22.369Z,33.98,15644.46,0.00,0.00
2025-06-07T20:08:23.384Z,7.63,15635.45,0.00,0.00
2025-06-07T20:08:24.363Z,5.90,15641.76,0.00,0.00
2025-06-07T20:08:25.364Z,20.45,15670.05,0.00,0.00
2025-06-07T20:08:26.371Z,66.16,15654.46,0.00,0.00
2025-06-07T20:08:27.366Z,35.86,15682.89,0.00,0.00
2025-06-07T20:08:28.374Z,26.06,15651.95,0.00,0.00
2025-06-07T20:08:29.368Z,22.82,15631.91,0.00,0.00
2025-06-07T20:08:30.369Z,13.18,15647.83,0.00,0.00
2025-06-07T20:08:31.367Z,10.68,15682.79,0.00,0.00
2025-06-07T20:08:32.364Z,44.94,15605.32,0.00,0.00
2025-06-07T20:08:33.368Z,42.16,15644.54,0.00,0.00
2025-06-07T20:08:34.364Z,13.29,15691.34,0.00,0.00
2025-06-07T20:08:35.386Z,50.53,15687.85,0.00,0.00
2025-06-07T20:08:36.370Z,18.73,15672.26,0.00,0.00
2025-06-07T20:08:37.360Z,14.29,15680.15,0.00,0.00
2025-06-07T20:08:38.365Z,5.61,15679.39,0.00,0.00
2025-06-07T20:08:39.366Z,7.42,15665.38,0.00,0.00
2025-06-07T20:08:40.367Z,5.58,15652.44,0.00,0.00
2025-06-07T20:08:41.367Z,53.81,15643.57,0.00,0.00
2025-06-07T20:08:42.412Z,77.68,15722.79,0.00,0.00
2025-06-07T20:08:43.421Z,68.53,15780.49,0.00,0.00
